date_generated,id,congress,chamber,rollnumber,date,keyvote,question,description,yea,nay,Issue1,Issue2,Peltzman1,Peltzman2,Clausen1,mid.dim1,mid.dim2,spread.dim1,spread.dim2,pre,classified,log_likelihood,geo_mean_probability
2017-05-28 11:50:06,RS1140261,114,Senate,261,2015-07-30,,On Passage of the Bill,"A bill to provide an extension of Federal-aid highway, highway safety, motor carrier safety, transit, and other programs funded out of the Highway Trust Fund, to provide resource flexibility to the Department of Veterans Affairs for health care services,and for other purposes.",,,,,,,,0.862,-0.366,0.254,-0.083,-0.5,0.937,-15.451,0.85
2017-05-28 11:50:06,RS1140262,114,Senate,262,2015-08-03,CQ,On Cloture on the Motion to Proceed,A bill to prohibit Federal funding of Planned Parenthood Federation of America.,,,,,,,,0.063,-0.085,-0.226,-0.343,0.913,0.96,-10.97,0.895
2017-05-28 11:50:06,RS1140263,114,Senate,263,2015-09-08,,On the Nomination,"Roseann A. Ketchmark, of Missouri, to be United States District Judge for the Western District of Missouri",,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
2017-05-28 11:50:06,RS1140264,114,Senate,264,2015-09-10,CQ,On the Cloture Motion,Of a perfecting nature.,,,,,,,,-0.064,-0.058,-0.244,0.296,0.905,0.96,-14.36,0.866
2017-05-28 11:50:06,RS1140265,114,Senate,265,2015-09-15,,On the Cloture Motion,Of a perfecting nature.,,,,,,,,-0.064,-0.058,-0.244,0.294,0.905,0.959,-14.354,0.864
2017-05-28 11:50:06,RS1140266,114,Senate,266,2015-09-17,,On the Cloture Motion,"To prohibit the President from waiving, suspending, reducing, providing relief from, or otherwise limiting the application of sanctions pursuant to an agreement related to the nuclear program of Iran.",,,,,,,,-0.03,-0.092,-0.45,-0.072,0.978,0.99,-1.84,0.981
2017-05-28 11:50:06,RS1140267,114,Senate,267,2015-09-17,,On the Cloture Motion,In the nature of a substitute.,,,,,,,,-0.064,-0.056,-0.244,0.294,0.905,0.959,-14.353,0.864
2017-05-28 11:50:06,RS1140268,114,Senate,268,2015-09-22,,On Cloture on the Motion to Proceed,"A bill to amend title 18, United States Code, to protect pain-capable unborn children, and for other purposes.",,,,,,,,0.044,-0.101,-0.282,-0.723,0.952,0.979,-7.112,0.929
2017-05-28 11:50:06,RS1140269,114,Senate,269,2015-09-22,,On Cloture on the Motion to Proceed,"A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2016, and for other purposes.",,,,,,,,-0.032,-0.095,-0.423,-0.087,0.976,0.99,-2.901,0.97
2017-05-28 11:50:06,RS1140270,114,Senate,270,2015-09-24,,On the Cloture Motion,"Making continuing appropriations for the fiscal year ending September 30, 2016, and for other purposes.",,,,,,,,0.134,0.047,-0.187,-0.629,0.894,0.949,-20.155,0.816
2017-05-28 11:50:06,RS1140271,114,Senate,271,2015-09-28,,On the Cloture Motion,"A bill to require the Transportation Security Administration to conform to existing Federal law and regulations regarding criminal investigator positions, and for other purposes.",,,,,,,,0.536,0.038,0.293,0.443,0.474,0.896,-23.876,0.78
2017-05-28 11:50:06,RS1140272,114,Senate,272,2015-09-30,,On the Motion,"A bill to require the Transportation Security Administration to conform to existing Federal law and regulations regarding criminal investigator positions, and for other purposes.",,,,,,,,0.528,0.048,0.278,0.466,0.45,0.888,-25.698,0.769
2017-05-28 11:50:06,RS1140273,114,Senate,273,2015-10-01,,On Cloture on the Motion to Proceed,"A bill making appropriations for military construction, the Department of Veterans Affairs, and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",,,,,,,,-0.03,-0.089,-0.425,-0.08,0.977,0.989,-2.93,0.969
2017-05-28 11:50:06,RS1140274,114,Senate,274,2015-10-05,,On the Nomination,"Dale A. Drozd, of California, to be United States District Judge for the Eastern District of California",,,,,,,,0.321,0.201,0.211,1.119,0.524,0.889,-18.276,0.816
2017-05-28 11:50:06,RS1140275,114,Senate,275,2015-10-06,,On the Cloture Motion,"An act to authorize appropriations for fiscal year 2016 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal yea, and for other purposes.",,,,,,,,-0.311,-0.138,-0.205,-0.04,0.538,0.879,-29.025,0.746
2017-05-28 11:50:06,RS1140276,114,Senate,276,2015-10-07,,On the Motion,"An act to authorize appropriations for fiscal year 2016 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal yea, and for other purposes.",,,,,,,,-0.311,-0.138,-0.206,-0.042,0.538,0.876,-29.024,0.741
2017-05-28 11:50:06,RS1140277,114,Senate,277,2015-10-07,,On the Conference Report,"An act to authorize appropriations for fiscal year 2016 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal yea, and for other purposes.",,,,,,,,-0.334,-0.189,-0.16,-0.082,0.519,0.866,-31.916,0.72
2017-05-28 11:50:06,RS1140278,114,Senate,278,2015-10-08,,On Cloture on the Motion to Proceed,"A bill making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2016, and for other purposes.",,,,,,,,0.091,-0.079,-0.186,-0.14,0.894,0.948,-16.647,0.841
2017-05-28 11:50:06,RS1140279,114,Senate,279,2015-10-20,,On the Nomination,"Ann Donnelly, of New York, to be United States District Judge for the Eastern District of New York",,,,,,,,0.0,0.0,0.0,0.0,,,0.0,
